Sample,X,Y
1/25/2005 0:03,1.004,9.98
1/25/2005 0:06,0.985,9.943
1/25/2005 0:09,1.022,10.077
1/25/2005 0:12,0.998,9.973
1/25/2005 0:15,1.002,10.104
1/25/2005 0:18,1.005,9.987
1/25/2005 0:21,1.007,9.99
1/25/2005 0:24,1.003,9.905
1/25/2005 0:27,0.982,9.976
1/25/2005 0:30,0.992,9.963
1/25/2005 0:33,0.987,10.053
1/25/2005 0:36,1.004,10.031
1/25/2005 0:39,0.984,10.006
1/25/2005 0:42,0.997,9.957
1/25/2005 0:45,1,9.95
1/25/2005 0:48,0.986,9.99
1/25/2005 0:51,1.006,10.055
1/25/2005 0:54,1.006,10.002
1/25/2005 0:57,1.006,9.954
1/25/2005 1:00,1.016,10.06
1/25/2005 1:03,1.001,10.021
1/25/2005 1:06,0.997,10.059
1/25/2005 1:09,0.989,9.969
1/25/2005 1:12,0.99,10
1/25/2005 1:15,1.005,9.988
1/25/2005 1:18,1.01,9.932
1/25/2005 1:21,0.99,10.015
1/25/2005 1:24,1.008,10.009
1/25/2005 1:27,1.013,10.002
1/25/2005 1:30,0.999,9.976
1/25/2005 1:33,1.007,10.021
1/25/2005 1:36,0.991,10.061
1/25/2005 1:39,1.019,9.959
1/25/2005 1:42,1,9.956
1/25/2005 1:45,1.007,9.935
1/25/2005 1:48,0.994,9.905
1/25/2005 1:51,0.988,9.933
1/25/2005 1:54,0.985,10.029
1/25/2005 1:57,1.007,10.013
1/25/2005 2:00,0.986,9.965
1/25/2005 2:03,1.012,10.081
1/25/2005 2:06,1.011,10.009
1/25/2005 2:09,0.991,10.015
1/25/2005 2:12,0.999,9.94
1/25/2005 2:15,1.003,9.96
1/25/2005 2:18,1.008,9.975
1/25/2005 2:21,1.013,10.003
1/25/2005 2:24,1.01,10.07
1/25/2005 2:27,1.005,9.89
1/25/2005 2:30,1.003,10.008
1/25/2005 2:33,0.996,9.964
1/25/2005 2:36,0.993,9.975
1/25/2005 2:39,1.007,9.911
1/25/2005 2:42,0.991,9.995
1/25/2005 2:45,1.011,9.983
1/25/2005 2:48,0.986,10.036
1/25/2005 2:51,0.989,10.015
1/25/2005 2:54,1.017,10.009
1/25/2005 2:57,0.988,10.047
1/25/2005 3:00,0.988,10.01
1/25/2005 3:03,1.002,9.917
1/25/2005 3:06,1,10.044
1/25/2005 3:09,1.027,10.055
1/25/2005 3:12,1.005,9.885
1/25/2005 3:15,0.998,9.933
1/25/2005 3:18,0.993,10.036
1/25/2005 3:21,1.017,10.035
1/25/2005 3:24,1.004,10.03
1/25/2005 3:27,1.004,9.973
1/25/2005 3:30,0.994,10.032
1/25/2005 3:33,0.992,9.948
1/25/2005 3:36,1.018,10.026
1/25/2005 3:39,0.997,9.971
1/25/2005 3:42,0.994,10.056
1/25/2005 3:45,0.996,9.998
1/25/2005 3:48,1.015,10.074
1/25/2005 3:51,0.996,9.922
1/25/2005 3:54,1.014,10.039
1/25/2005 3:57,1.011,9.988
1/25/2005 4:00,1.002,9.959
1/25/2005 4:03,0.996,10.048
1/25/2005 4:06,1.009,9.981
1/25/2005 4:09,1.002,9.928
1/25/2005 4:12,1.012,10.043
1/25/2005 4:15,1.011,10.024
1/25/2005 4:18,1.003,10.038
1/25/2005 4:21,0.999,9.994
1/25/2005 4:24,1.018,10
1/25/2005 4:27,0.982,10.064
1/25/2005 4:30,1.005,10.021
1/25/2005 4:33,0.986,9.996
1/25/2005 4:36,0.993,9.956
1/25/2005 4:39,1.004,9.902
1/25/2005 4:42,1.008,10.1
1/25/2005 4:45,0.994,10.01
1/25/2005 4:48,0.999,9.939
1/25/2005 4:51,0.998,10.005
1/25/2005 4:54,1.017,10.053
1/25/2005 4:57,1.002,10.012
1/25/2005 5:00,1.015,10.033
1/25/2005 5:03,1.024,10.027
1/25/2005 5:06,0.99,9.941
1/25/2005 5:09,0.994,9.981
1/25/2005 5:12,1,10.041
1/25/2005 5:15,0.996,10.02
1/25/2005 5:18,0.989,9.957
1/25/2005 5:21,0.993,10.021
1/25/2005 5:24,1.002,9.939
1/25/2005 5:27,1,10.071
1/25/2005 5:30,1.003,9.972
1/25/2005 5:33,0.994,9.978
1/25/2005 5:36,0.993,10.049
1/25/2005 5:39,0.99,10.01
1/25/2005 5:42,1.004,9.923
1/25/2005 5:45,1.001,9.973
1/25/2005 5:48,0.976,9.996
1/25/2005 5:51,0.999,10.099
1/25/2005 5:54,0.994,9.92
1/25/2005 5:57,1.009,9.966
1/25/2005 6:00,0.998,10.018
1/25/2005 6:03,1.001,9.987
1/25/2005 6:06,0.996,9.973
1/25/2005 6:09,1,10.069
1/25/2005 6:12,0.992,10.024
1/25/2005 6:15,1.012,10.01
1/25/2005 6:18,0.993,10.069
1/25/2005 6:21,0.982,9.929
1/25/2005 6:24,0.994,10.082
1/25/2005 6:27,0.983,9.938
1/25/2005 6:30,1,9.966
1/25/2005 6:33,1.029,10.017
1/25/2005 6:36,0.993,10.029
1/25/2005 6:39,1.001,9.963
1/25/2005 6:42,0.992,9.971
1/25/2005 6:45,0.987,10.039
1/25/2005 6:48,0.993,10.043
1/25/2005 6:51,1.006,10.007
1/25/2005 6:54,1.007,10.033
1/25/2005 6:57,1.02,10.041
1/25/2005 7:00,0.99,9.984
1/25/2005 7:03,0.988,10.023
1/25/2005 7:06,1.015,9.986
1/25/2005 7:09,1.007,9.989
1/25/2005 7:12,1.01,9.986
1/25/2005 7:15,1.012,9.952
1/25/2005 7:18,0.99,10.078
1/25/2005 7:21,0.996,9.924
1/25/2005 7:24,1.02,9.98
1/25/2005 7:27,0.994,9.921
1/25/2005 7:30,0.999,10.008
